LE,CUSTOMERACCOUNT,ADDRESSZIPCODE
NA1,11616220,10005
NA1,11616233,10005
NA1,11616234,12004
NA1,11616240,10011
NA1,11616244,10021
NA1,11616251,10005
NA1,11616252,10005
NA1,11616254,10005
NA1,11616255,10005
NA1,11616265,10005
NA1,11616278,10005
NA1,11616282,10005
NA1,11616294,10005
NA1,11616298,10005
NA1,11616324,10005
NA1,11616331,10005
NA1,11616353,19001
NA1,11616363,10028
NA1,11616367,10005
NA1,11616371,10012
NA1,11616385,19001
NA1,11616389,10005
NA1,11616391,10005
NA1,11616393,10028
NA1,11616401,10032
NA1,11616406,12004
NA1,11616408,12004
NA1,11616422,10005
NA1,11616441,10031
NA1,11616451,10005
NA1,11616455,10028
NA1,11616459,10005
NA1,11616461,10005
NA1,11616464,10005
NA1,11616466,10001
NA1,11616483,10011
NA1,11616498,10005
NA1,11616503,10012
NA1,11616505,10005
NA1,11616509,10005
NA1,11616510,10005
NA1,11616513,10021
NA1,11616518,10009
NA1,11616520,10005
NA1,11616521,10021
NA1,11616523,10023
NA1,11616541,10005
NA1,11616542,10005
NA1,11616545,10005
NA1,11616548,10007
NA1,11616597,10028
NA1,11616608,10005
NA1,11616609,10005
NA1,11616613,10005
NA1,11616629,10005
NA1,11616634,10005
NA1,11616655,10005
NA1,11616661,10021
NA1,11616664,10007
NA1,11616699,10005
NA1,11616700,10005
NA1,11616702,10005
NA1,11616708,10005
NA1,11616710,10005
NA1,11616714,23015
NA1,11616735,10009
NA1,11616738,10021
NA1,11616742,10007
NA1,11616745,10005
NA1,11616746,10005
NA1,11616751,10021
NA1,11616772,13007
NA1,11616774,10005
NA1,11616783,10005
NA1,11616790,10011
NA1,11616792,10005
NA1,11616794,22008
NA1,11616796,10028
NA1,11616814,10005
NA1,11616839,10018
NA1,11616841,10005
NA1,11616842,10005
NA1,11616846,10005
NA1,11616847,10005
NA1,11616863,10005
NA1,11616867,10005
NA1,11616868,10005
NA1,11616870,10005
NA1,11616874,10005
NA1,11616882,10028
NA1,11616890,10005
NA1,11616896,10005
NA1,11616906,10005
NA1,11616912,10001
NA1,11616925,10005
NA1,11616926,10005
NA1,11616927,10028
NA1,11616931,10005
NA1,11616933,10005
NA1,11616936,10005
NA1,11616947,22008
NA1,11616955,10005
NA1,11616962,10001
NA1,11616964,10005
NA1,11616975,10005
NA1,11616992,10005
NA1,11616994,10005
NA1,11617002,10005
NA1,11617017,10005
NA1,11617021,10005
NA1,11617023,10005
NA1,11617029,10005
NA1,11617032,10005
NA1,11617049,13007
NA1,11617052,10005
NA1,11617056,10005
NA1,11617065,12004
NA1,11617079,10005
NA1,11617081,10005
NA1,11617091,10005
NA1,11617093,10005
NA1,11617100,10001
NA1,11617106,10021
NA1,11617119,10005
NA1,11617121,10005
NA1,11617130,10009
NA1,11617132,10005
NA1,11617139,10005
NA1,11617143,10005
NA1,11617144,10005
NA1,11617159,10021
NA1,11617167,10005
NA1,11617187,10005
NA1,11617196,10005
NA1,11617203,10005
NA1,11617205,10012
NA1,11617209,10005
NA1,11617215,10005
NA1,11617216,10018
NA1,11617218,10017
NA1,11617223,22008
NA1,11617231,10005
NA1,11617238,10005
NA1,11617252,10021
NA1,11617256,10021
NA1,11617262,13007
NA1,11617265,10005
NA1,11617268,10005
NA1,11617269,10005
NA1,11617270,12004
NA1,11617274,10005
NA1,11617277,10005
NA1,11617279,10005
NA1,11617281,10012
NA1,11617287,10005
NA1,11617298,10012
NA1,11617305,12004
NA1,11617308,10005
NA1,11617325,13007
NA1,11617344,10021
NA1,11617348,10005
NA1,11617361,10007
NA1,11617368,10005
NA1,11617394,10018
NA1,11617396,10021
NA1,11617400,10005
NA1,11617402,10007
NA1,11617405,10005
NA1,11617406,13007
NA1,11617409,10007
NA1,11617413,10005
NA1,11617426,10005
NA1,11617428,10021
NA1,11617432,10005
NA1,11617437,10009
NA1,11617439,10018
NA1,11617450,10005
NA1,11617454,10005
NA1,11617463,10005
NA1,11617468,10005
NA1,11617472,10005
NA1,11617480,10021
NA1,11617485,10005
NA1,11617487,10005
NA1,11617490,10005
NA1,11617494,10005
NA1,11617496,10005
NA1,11617501,10005
NA1,11617509,10005
NA1,11617511,10005
NA1,11617512,10005
NA1,11617513,10005
NA1,11617517,10005
NA1,11617519,10005
NA1,11617521,10005
NA1,11617524,10005
NA1,11617530,10005
NA1,11617533,10001
NA1,11617539,23015
NA1,11617543,10018
NA1,11617556,10005
NA1,11617558,10005
NA1,11617560,10005
NA1,11617562,10031
NA1,11617565,10005
NA1,11617573,10005
NA1,11617583,10012
NA1,11617595,10007
NA1,11617600,10005
NA1,11617605,10005
NA1,11617607,10005
NA1,11617611,10005
NA1,11617622,10012
NA1,11617628,10005
NA1,11617633,10005
NA1,11617659,10018
NA1,11617664,10005
NA1,11617680,10001
NA1,11617684,10005
NA1,11617688,10001
NA1,11617691,12004
NA1,11617694,10005
NA1,11617708,10005
NA1,11617710,10005
NA1,11617724,10005
NA1,11617733,10005
NA1,11617736,10021
NA1,11617738,10007
NA1,11617742,10017
NA1,11617744,10005
NA1,11617746,10021
NA1,11617748,10005
NA1,11617751,10005
NA1,11617755,10005
NA1,11617760,10005
NA1,11617780,10005
NA1,11617782,10005
NA1,11617784,10005
NA1,11617785,10005
NA1,11617788,10005
NA1,11617803,10001
NA1,11617808,10001
NA1,11617811,10021
NA1,11617819,10005
NA1,11617823,10021
NA1,11617826,10018
NA1,11617831,10005
NA1,11617833,10005
NA1,11617835,10005
NA1,11617838,10021
NA1,11617841,10005
NA1,11617845,10005
NA1,11617850,10005
NA1,11617861,10021
NA1,11617864,10007
NA1,11617869,10005
NA1,11617876,10007
NA1,11617878,10005
NA1,11617881,10007
NA1,11617887,10005
NA1,11617889,10005
NA1,11617891,10005
NA1,11617892,10005
NA1,11617893,10005
NA1,11617895,10005
NA1,11617903,10028
NA1,11617908,12004
NA1,11617922,10012
NA1,11617929,10005
NA1,11617932,10005
NA1,11617937,10007
NA1,11617944,10012
NA1,11617946,10005
NA1,11617954,10030
NA1,11617958,10005
NA1,11617960,10005
NA1,11617962,10005
NA1,11617969,10007
NA1,11617972,13007
NA1,11617974,10005
NA1,11617982,10005
NA1,11617983,10005
NA1,11617984,10017
NA1,11617988,10005
NA1,11617991,10005
NA1,11618004,10005
NA1,11618006,10005
NA1,11618007,10005
NA1,11618008,10030
NA1,11618014,10001
NA1,11618026,10021
NA1,11618033,10018
NA1,11618035,10018
NA1,11618037,10018
NA1,11618049,10005
NA1,11618054,10012
NA1,11618056,10007
NA1,11618058,10005
NA1,11618060,10005
NA1,11618062,10005
NA1,11618063,22008
NA1,11618066,10005
NA1,11618068,10021
NA1,11618087,10005
NA1,11618091,10031
NA1,11618099,10005
NA1,11618104,22008
NA1,11618114,10005
NA1,11618118,10005
NA1,11618120,10021
NA1,11618123,12004
NA1,11618125,10021
NA1,11618127,10005
NA1,11618129,10005
NA1,11618130,10005
NA1,11618135,10005
NA1,11618138,10005
NA1,11618140,10005
NA1,11618142,10005
NA1,11618145,10005
NA1,11618147,10005
NA1,11618150,10005
NA1,11618151,10005
NA1,11618152,10021
NA1,11618154,10005
NA1,11618159,10005
NA1,11618162,10005
NA1,11618163,10005
NA1,11618179,10028
NA1,11618183,10005
NA1,11618184,10005
NA1,11618189,10007
NA1,11618197,10005
NA1,11618211,10021
NA1,11618213,10001
NA1,11618220,10007
NA1,11618224,10022
NA1,11618234,10005
NA1,11618236,10005
NA1,11618239,10005
NA1,11618240,10005
NA1,11618242,10005
NA1,11618243,10005
NA1,11618244,10005
NA1,11618247,10009
NA1,11618250,10005
NA1,11618267,10005
NA1,11618270,10005
NA1,11618271,10005
NA1,11618276,10012
NA1,11618279,10005
NA1,11618281,10005
NA1,11618283,10005
NA1,11618284,10005
NA1,11618285,10005
NA1,11618291,10005
NA1,11618295,22008
NA1,11618302,10005
NA1,11618303,13007
NA1,11618307,11001
NA1,11618309,10005
NA1,11618314,10005
NA1,11618323,10005
NA1,11618331,10005
NA1,11618334,10005
NA1,11618336,10005
NA1,11618343,10005
NA1,11618350,10005
NA1,11618352,10005
NA1,11618356,10028
NA1,11618363,10028
NA1,11618366,10005
NA1,11618368,10005
NA1,11618369,10001
NA1,11618373,10021
NA1,11618382,10005
NA1,11618386,10005
NA1,11618387,10005
NA1,11618389,10001
NA1,11618401,10005
NA1,11618404,10007
NA1,11618407,10005
NA1,11618409,10005
NA1,11618413,10005
NA1,11618422,10021
NA1,11618424,22008
NA1,11618426,10005
NA1,11618437,12004
NA1,11618439,10001
NA1,11618446,10007
NA1,11618451,10005
NA1,11618455,10005
NA1,11618456,22008
NA1,11618458,10001
NA1,11618470,10021
NA1,11618474,10021
NA1,11618476,10005
NA1,11618486,10005
NA1,11618488,10005
NA1,11618491,10031
NA1,11618504,10018
NA1,11618506,12004
NA1,11618509,10005
NA1,11618513,10005
NA1,11618515,10005
NA1,11618518,10028
NA1,11618528,10027
NA1,11618530,10001
NA1,11618539,10005
NA1,11618543,10005
NA1,11618546,10005
NA1,11618556,10009
NA1,11618558,10009
NA1,11618563,12004
NA1,11618565,10005
NA1,11618576,10005
NA1,11618591,10005
NA1,11618594,10005
NA1,11618597,10023
NA1,11618599,10032
NA1,11618602,10005
NA1,11618604,10028
NA1,11618609,10005
NA1,11618613,10011
NA1,11618616,10005
NA1,11618621,10005
NA1,11618624,10005
NA1,11618626,10013
NA1,11618628,10011
NA1,11618632,10005
NA1,11618636,10005
NA1,11618641,10005
